num_of_bachelors,num_of_associates,income,cost
126.0,277.0,135624048.71278176,3829500.0
41.0,277.0,95124806.27286944,2565000.0
79.0,277.0,115097709.24577437,3145500.0
47.0,277.0,100389428.08595873,2758500.0
106.0,277.0,120900418.53936988,3487500.0
97.0,277.0,118225472.34440677,3298500.0
53.0,277.0,98892923.07845017,2691000.0
108.0,277.0,126012385.5384844,3595500.0
55.0,277.0,101294974.26496322,2799000.0
101.0,277.0,123885617.25851406,3465000.0
111.0,277.0,127247315.2829276,3613500.0
73.0,277.0,109708649.78682022,3046500.0
125.0,277.0,128035364.01366867,3811500.0
135.0,277.0,135175907.86155674,3973500.0
24.0,277.0,86919070.02471855,2322000.0
110.0,277.0,126690329.12551363,3645000.0
51.0,277.0,100384245.23565646,2763000.0
48.0,277.0,99846845.5010716,2682000.0
116.0,277.0,129429259.0140927,3735000.0
96.0,277.0,119859591.69827239,3361500.0
84.0,277.0,119181951.37280138,3289500.0
39.0,277.0,99748114.09134145,2641500.0
83.0,277.0,111968500.80375785,3123000.0
45.0,277.0,102732988.67678533,2731500.0
71.0,277.0,112394633.29646946,3064500.0
88.0,277.0,115395873.66541816,3154500.0
28.0,277.0,86952639.83609587,2385000.0
92.0,277.0,124655187.40221108,3460500.0
123.0,277.0,135973135.97494036,3829500.0
15.0,277.0,86267647.37089944,2286000.0
58.0,277.0,99876115.04908222,2821500.0
1.0,277.0,78474724.05331436,2061000.0
18.0,277.0,88359189.3689417,2304000.0
88.0,277.0,119466750.76559627,3294000.0
48.0,277.0,97551088.1929074,2686500.0
7.0,277.0,77070481.32629693,2061000.0
46.0,277.0,101771488.01849581,2682000.0
7.0,277.0,83067694.87351008,2155500.0
102.0,277.0,124915542.58597939,3411000.0
107.0,277.0,117456233.68955411,3474000.0
24.0,277.0,93692754.64068745,2407500.0
21.0,277.0,89510280.96792866,2380500.0
135.0,277.0,138158228.7147426,3946500.0
4.0,277.0,82697754.93315998,2142000.0
135.0,277.0,138913191.61230472,3964500.0
8.0,277.0,78973450.49970673,2110500.0
102.0,277.0,124714100.70991227,3568500.0
135.0,277.0,140138077.8912028,4072500.0
49.0,277.0,99446599.37913711,2758500.0
23.0,277.0,86409769.49550886,2340000.0
60.0,277.0,105388691.56709723,2871000.0
127.0,277.0,133667779.0722552,3811500.0
111.0,277.0,128426777.38097091,3622500.0
136.0,277.0,132270658.46243878,3888000.0
15.0,277.0,81432952.23624717,2173500.0
60.0,277.0,104993644.04299574,2826000.0
104.0,277.0,120744996.9497414,3510000.0
18.0,277.0,86448971.68420479,2281500.0
14.0,277.0,82987990.48429088,2209500.0
87.0,277.0,120442568.32843654,3316500.0
95.0,277.0,120782747.43587664,3348000.0
37.0,277.0,93899350.93292975,2493000.0
77.0,277.0,110899568.8033263,3091500.0
23.0,277.0,89064862.99137078,2394000.0
105.0,277.0,126813368.2397734,3537000.0
11.0,277.0,78870202.57182555,2128500.0
63.0,277.0,111341377.43669072,3015000.0
137.0,277.0,138882915.02799746,3982500.0
60.0,277.0,102049919.20809583,2844000.0
14.0,277.0,85059634.80398975,2250000.0
74.0,277.0,114757917.97075683,3145500.0
128.0,277.0,136912362.77003765,3901500.0
133.0,277.0,138604302.29075283,3924000.0
111.0,277.0,129015612.09254646,3631500.0
85.0,277.0,110292578.97332312,3244500.0
121.0,277.0,129114717.16728756,3681000.0
79.0,277.0,111713095.48682563,3123000.0
106.0,277.0,130117772.62914239,3586500.0
129.0,277.0,135287072.27574778,3942000.0
41.0,277.0,102831783.03806193,2682000.0
15.0,277.0,85801089.27550615,2250000.0
70.0,277.0,102177556.75420777,2907000.0
10.0,277.0,85059204.47276892,2200500.0
136.0,277.0,139109596.970273,3883500.0
128.0,277.0,134730809.9832987,3973500.0
67.0,277.0,108400404.46853878,3024000.0
45.0,277.0,95621945.0929645,2628000.0
11.0,277.0,81906301.29673979,2232000.0
93.0,277.0,123481322.39796798,3388500.0
64.0,277.0,105994297.51548924,2893500.0
103.0,277.0,123269940.77402997,3546000.0
82.0,277.0,118328169.94202885,3258000.0
92.0,277.0,119445358.77576515,3339000.0
82.0,277.0,111328935.97407928,3163500.0
43.0,277.0,95398390.93573661,2619000.0
134.0,277.0,136900801.5121801,4045500.0
32.0,277.0,90396465.00115323,2461500.0
25.0,277.0,86618085.81065978,2380500.0
136.0,277.0,140491348.64986095,4077000.0
137.0,277.0,132821617.18921304,4023000.0
