num_of_bachelors,num_of_associates,income,cost,ROI
10.0,257.0,75858731.88449916,1408500.0,52.8578146144829
16.0,245.0,82148839.1059132,1633500.0,49.29007597545957
104.0,69.0,65033606.293758884,1624500.0,39.03299864189528
59.0,159.0,68485607.48915556,1480500.0,45.258431265893655
28.0,221.0,67552098.7606262,1323000.0,50.05978742299788
85.0,107.0,72591174.51718138,1710000.0,41.45097924981367
121.0,35.0,63017881.911027774,1656000.0,37.05427651632112
16.0,245.0,75781351.36438906,1444500.0,51.46199471401112
73.0,131.0,75882477.77050419,1750500.0,42.34903043159337
54.0,169.0,71120608.87017854,1507500.0,46.17784999680168
122.0,33.0,65338531.25642834,1701000.0,37.411834953808544
46.0,185.0,66365821.4853397,1300500.0,50.03100460233733
53.0,171.0,71298263.8802673,1548000.0,45.05831000017268
115.0,47.0,64444449.19322565,1606500.0,39.11481431262101
11.0,255.0,76592708.31661192,1476000.0,50.89207880529263
119.0,39.0,58851972.562269405,1593000.0,35.94411334731287
60.0,157.0,70501823.26098377,1530000.0,45.079623046394616
105.0,67.0,72195591.16801822,1768500.0,39.82306540459046
21.0,235.0,72730836.10796785,1363500.0,52.34128060723715
101.0,75.0,69406464.19875053,1615500.0,41.962837634633566
50.0,177.0,73208364.16051757,1561500.0,45.883358412115
33.0,211.0,72021407.49766594,1467000.0,48.09434730583909
50.0,177.0,68278313.31858192,1440000.0,46.415495360126336
134.0,9.0,59310256.527917154,1669500.0,34.52576012453858
84.0,109.0,65939227.93017727,1471500.0,43.81089223933216
38.0,201.0,70948247.68965465,1435500.0,48.424066659459875
131.0,15.0,62968937.763421446,1687500.0,36.314926082027526
20.0,237.0,74856215.71808456,1467000.0,50.02673191416807
66.0,145.0,73132814.86215927,1552500.0,46.10648300300114
112.0,53.0,65929421.6232323,1651500.0,38.92093346850275
93.0,91.0,69363808.26541016,1615500.0,41.93643346667295
128.0,21.0,64786292.77312586,1714500.0,36.78728070756831
123.0,31.0,64024991.16316951,1620000.0,38.52159948343797
84.0,109.0,62958524.42304664,1534500.0,40.028689751089374
113.0,51.0,59236508.19583904,1570500.0,36.718247816516424
115.0,47.0,63041410.02161788,1656000.0,37.06848431257119
128.0,21.0,58624962.61171858,1611000.0,35.3904175119296
7.0,263.0,75103307.45737201,1395000.0,52.83749638521291
68.0,141.0,70589771.45900324,1557000.0,44.337040114966754
87.0,103.0,63530572.72336971,1413000.0,43.961481049801634
133.0,11.0,68570548.80346437,1746000.0,38.272937459028846
93.0,91.0,71645827.17798789,1764000.0,39.615548286841204
9.0,259.0,74336347.13157925,1354500.0,53.881024091236064
4.0,269.0,71393398.12324055,1273500.0,55.06077591145704
54.0,169.0,71728791.87658109,1525500.0,46.01985701513018
67.0,143.0,69505312.22286354,1512000.0,44.96912184051821
30.0,217.0,75785163.49029824,1512000.0,49.122462625858624
44.0,189.0,68267084.93094817,1395000.0,47.93697844512413
57.0,163.0,68190427.77422495,1444500.0,46.20694203823119
50.0,177.0,71610388.13473026,1579500.0,44.33737773645474
99.0,79.0,61637705.749108404,1557000.0,38.5874796076483
121.0,35.0,65441330.62104837,1647000.0,38.73365550761893
84.0,109.0,70490214.81989954,1597500.0,43.12533009070394
6.0,265.0,77202288.93949388,1435500.0,52.78076554475366
63.0,151.0,72501693.5669157,1561500.0,45.43079959456657
105.0,67.0,68590953.77165811,1638000.0,40.87481915241643
37.0,203.0,73873467.85015672,1458000.0,49.66767342260406
127.0,23.0,55272911.435188375,1485000.0,36.22081578127163
63.0,151.0,70084747.52340838,1584000.0,43.24542141629317
35.0,207.0,74742600.51875858,1557000.0,47.004239254180206
