num_of_bachelors,num_of_associates,income,cost,ROI
13.0,251.0,119244136.74651173,1998000.0,58.681750123379246
131.0,15.0,89279171.09385367,2016000.0,43.28530312195122
6.0,265.0,122613908.76399373,1998000.0,60.36832270470156
52.0,173.0,109626697.42467561,1863000.0,57.84417467776469
120.0,37.0,90120874.57612292,1894500.0,46.56974113281759
69.0,139.0,106513287.76320882,2038500.0,51.25081567976886
6.0,265.0,124906699.27438134,2034000.0,60.40939000707047
136.0,5.0,84194529.35334001,1975500.0,41.619351735429014
97.0,83.0,100091535.22549896,1993500.0,49.208946689490325
61.0,155.0,106991034.35083036,2079000.0,50.462738985488386
67.0,143.0,108717728.54415123,2029500.0,52.56872556991931
94.0,89.0,98814373.18170045,2056500.0,47.04978029744734
115.0,47.0,92184922.33384465,1980000.0,45.55804158274982
20.0,237.0,117115410.58303168,1953000.0,58.966928101910746
68.0,141.0,106240054.69407026,2011500.0,51.8163334298137
100.0,77.0,101986094.28975998,2056500.0,48.59207113530755
89.0,99.0,96154699.03871626,1912500.0,49.276966817629415
90.0,97.0,99023206.55114383,1957500.0,49.58656784221907
109.0,59.0,94254306.83434984,1980000.0,46.603185269873656
118.0,41.0,97356384.77475685,2088000.0,45.6266210607073
126.0,25.0,91052038.69369735,2029500.0,43.86427134451705
137.0,3.0,92589215.89885251,2079000.0,43.53545738280544
39.0,199.0,112337083.7311929,2029500.0,54.3520984139901
3.0,271.0,124794871.94055241,2007000.0,61.17980664701167
45.0,187.0,112909816.97825618,2097000.0,52.84349879745169
57.0,163.0,109808444.89158063,1984500.0,54.33305361127771
108.0,61.0,97931542.90364355,2011500.0,47.685827941160106
127.0,23.0,96154642.50336364,2074500.0,45.350755605381366
86.0,105.0,100504795.62804776,2038500.0,48.303309113587325
82.0,113.0,101706421.66652098,1944000.0,51.3181181412145
38.0,201.0,113077748.94331336,1930500.0,57.574332526968846
45.0,187.0,112052592.3663438,1993500.0,55.20897535306938
50.0,177.0,113155289.88364665,2002500.0,55.50701117785101
24.0,229.0,118016091.21250403,2029500.0,57.15032826435281
129.0,19.0,92060149.99159122,1975500.0,45.600936467522764
51.0,175.0,114066048.22104411,2052000.0,54.58774279777978
116.0,45.0,93856381.34705724,2052000.0,44.73897726464778
105.0,67.0,95012479.98938195,2020500.0,46.02424151912
94.0,89.0,101640535.0436516,1993500.0,49.98597193060025
95.0,87.0,106790961.53144297,2106000.0,49.70795894180578
57.0,163.0,109310750.44665202,1971000.0,54.459538532040604
16.0,245.0,117373236.45097955,1912500.0,60.37162690247297
133.0,11.0,95159812.92827033,2115000.0,43.99281935142805
54.0,169.0,110246202.22712715,1890000.0,57.33132392969691
93.0,91.0,99120409.21612832,2038500.0,47.62418897038426
133.0,11.0,94136575.06567039,2020500.0,45.59073252445948
79.0,119.0,105239282.86782746,2038500.0,50.625843938105206
72.0,133.0,103154769.30895714,1993500.0,50.745557717059015
130.0,17.0,93674891.6857764,2038500.0,44.95285341465607
74.0,129.0,107110382.47240569,2070000.0,50.74414612193512
63.0,151.0,110140887.58229516,2029500.0,53.26996185380397
70.0,137.0,104970600.83388095,2025000.0,50.837333745126394
